name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,10798,202953096,,-83.9077147,35.9962230,,,,,
,10799,11806081561,,-83.9081741,36.0056350,,,,,
,10800,11806081562,,-83.9080852,36.0056904,,,,,
,10801,202890314,signal,-83.9122271,36.0017354,,,,,
,10802,202890349,,-83.8871910,36.0186765,,,,,
,10803,202840722,,-83.8919026,36.0159804,,,,,
,10804,202860041,,-83.8720365,36.0333597,,,,,
,10805,203067477,,-83.8729289,36.0347446,,,,,
,10806,202860045,,-83.8724081,36.0333398,,,,,
,10807,9032376108,,-83.8724054,36.0337215,,,,,
,10808,9297609778,,-83.9538488,36.0049488,,,,,
,10809,8577276555,,-83.9405893,36.0194518,,,,,
,10810,8325522885,,-83.9400575,36.0194943,,,,,
,10811,8577276550,,-83.9399370,36.0195115,,,,,
,10812,8577276551,,-83.9391194,36.0195894,,,,,
,10813,8577276556,,-83.9411668,36.0193702,,,,,
,10814,6358785485,,-83.9350755,36.0211527,,,,,
,10815,6358782879,,-83.9425501,36.0191839,,,,,
,10816,6358782878,,-83.9423409,36.0192230,,,,,
,10817,202865907,signal,-83.9282720,36.0284777,,,,,
,10818,7279448685,,-83.7789972,36.0212391,,,,,
,10819,202831312,signal,-83.7694450,36.0221544,,,,,
,10820,2845098881,,-83.7371664,36.0254262,,,,,
,10821,2788760208,,-83.9142297,35.9699493,,,,,
,10822,9773971989,,-83.9144662,35.9699179,,,,,
,10823,9795516082,signal,-83.9155410,35.9697145,,,,,
,10824,2486831156,,-83.9117861,35.9680974,,,,,
,10825,202861036,,-83.9101434,35.9703152,,,,,
,10826,202861040,,-83.9093983,35.9703220,,,,,
,10827,2788760241,,-83.9093954,35.9704343,,,,,
,10828,202967368,signal,-83.9111085,35.9841855,,,,,
,10829,202898135,,-83.8943937,35.9925392,,,,,
,10830,202980658,,-83.8958977,35.9911962,,,,,
,10831,2904095489,,-83.8957616,35.9884305,,,,,
,10832,4892564964,,-84.0947052,35.9228503,,,,,
,10833,9647524638,,-84.1015891,35.9271530,,,,,
,10834,7550054427,,-84.0925982,35.9194478,,,,,
,10835,7885201835,,-84.0994125,35.9182511,,,,,
,10836,706207345,,-84.0944901,35.9186479,,,,,
,10837,5651551164,,-83.9110234,35.9665046,,,,,
,10838,203071794,,-83.8798880,36.0002816,,,,,
,10839,9831724526,,-83.8724825,36.0091652,,,,,
,10840,203067455,,-83.8768814,36.0319589,,,,,
,10841,3827246224,,-83.8763290,36.0319627,,,,,
,10842,7265459305,,-83.8863148,36.0334592,,,,,
,10843,202911615,,-83.8492653,35.9999770,,,,,
,10844,202911612,,-83.8494143,36.0014536,,,,,
,10845,203071478,,-83.8314989,36.0126873,,,,,
,10846,9773939545,,-83.8533767,36.0056791,,,,,
,10847,9261526837,,-83.8738980,36.0010814,,,,,
,10848,7613990972,,-83.8573436,36.0045787,,,,,
,10849,7613990971,,-83.8570722,36.0046053,,,,,
,10850,10731712901,,-83.8631236,36.0046391,,,,,
,10851,8023580408,,-83.8560753,36.0047568,,,,,
,10852,8975032183,,-83.9158242,35.9632568,,,,,
,10853,7830491573,signal,-84.0387533,35.9278921,,,,,
,10854,7768426286,,-84.0388598,35.9278571,,,,,
,10855,9325877902,,-84.0416836,35.9253915,,,,,
,10856,202910631,signal,-84.0508389,35.9245663,,,,,
,10857,203064684,signal,-84.0649688,35.9213560,,,,,
,10858,203043790,,-83.8971475,35.9725807,,,,,
,10859,202826427,,-83.8981761,35.9755631,,,,,
,10860,202826432,,-83.8950897,35.9769232,,,,,
,10861,202841145,,-83.8904427,35.9805184,,,,,
,10862,203008095,,-83.8901682,35.9788344,,,,,
,10863,8853809306,,-83.8525970,35.9999326,,,,,
,10864,203004692,,-83.8283886,36.0070577,,,,,
,10865,8853805213,,-83.8551688,36.0013201,,,,,
,10866,9831783746,,-83.8754878,35.9994761,,,,,
,10867,8853809255,,-83.8770888,35.9995676,,,,,
